post_id,title,category,score,num_comments,author,collected_at
47763759,What is jj and why should I care?,general,271,169,tigerlily,2026-04-14 20:24:37
47765604,Rare concert records going on Internet Archive,general,44,12,jrm-veris,2026-04-14 20:24:38
47766144,Schools Never Taught Critical Thinking: AI Exposed the Lie,technology,16,13,dxs,2026-04-14 20:24:39
47760529,DaVinci Resolve – Photo,general,817,219,thebiblelover7,2026-04-14 20:24:40
47760764,A new spam policy for “back button hijacking”,general,584,337,zdw,2026-04-14 20:24:41
47764098,"NimConf 2026: Dates Announced, Registrations Open",general,66,13,moigagoo,2026-04-14 20:24:42
47755629,Someone bought 30 WordPress plugins and planted a backdoor in all of them,general,1071,302,speckx,2026-04-14 20:24:43
47762864,Backblaze has stopped backing up your data,technology,481,308,rrreese,2026-04-14 20:24:44
47764164,The Case Against Gameplay Loops,technology,36,26,coinfused,2026-04-14 20:24:45
47757495,GitHub Stacked PRs,general,808,440,ezekg,2026-04-14 20:24:46
47762641,Introspective Diffusion Language Models,general,136,31,zagwdt,2026-04-14 20:24:46
47717192,The acyclic e-graph: Cranelift's mid-end optimizer,general,24,3,tekknolagi,2026-04-14 20:24:47
47704729,The M×N problem of tool calling and open-source models,general,53,16,remilouf,2026-04-14 20:24:48
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,62,52,adulion,2026-04-14 20:24:49
47722629,Franklin's bad ads for Apple ][ clones and the beloved impersonator they depict,general,73,35,rfarley04,2026-04-14 20:24:50
47761997,Distributed DuckDB Instance,general,112,24,citguru,2026-04-14 20:24:51
47759709,Lean proved this program correct; then I found a bug,general,316,146,bumbledraven,2026-04-14 20:24:52
47764265,The exponential curve behind open source backlogs,general,26,14,armanckeser,2026-04-14 20:24:53
47714770,Show HN: Run GUIs as Scripts,entertainment,7,1,zero-st4rs,2026-04-14 20:24:54
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,75,32,tie-in,2026-04-14 20:24:55
47759341,WiiFin – Jellyfin Client for Nintendo Wii,general,206,92,throwawayk7h,2026-04-14 20:24:57
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,13,1,apollinaire,2026-04-14 20:24:58
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,454,248,m-hodges,2026-04-14 20:24:59
47711148,A soft robot has no problem moving with no motor and no gears,general,57,16,hhs,2026-04-14 20:24:59
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,50,7,adunk,2026-04-14 20:25:02
